Emotion,Rank,Word,TFIDF Score
Anger,1,fuck,0.030033134423604856
Anger,2,don,0.02098876492806182
Anger,3,like,0.018151945804796305
Anger,4,hate,0.01798065118713013
Anger,5,just,0.01575570040853282
Anger,6,peopl,0.013974572068241587
Anger,7,think,0.00979917642816846
Anger,8,disgust,0.009608510895896294
Anger,9,damn,0.00953613779032597
Anger,10,say,0.009197477569346087
Anger,11,stupid,0.009135446393384797
Anger,12,shit,0.008726628571270463
Anger,13,bad,0.008600532753397342
Anger,14,make,0.008442602552041243
Anger,15,realli,0.008132425551525874
Anger,16,want,0.007984762776187766
Anger,17,suck,0.007951586893677852
Anger,18,thing,0.007838836116050435
Anger,19,doesn,0.007154263465012673
Anger,20,worst,0.007084509200969145
Fear,1,scare,0.04967884837293549
Fear,2,afraid,0.040326795882145404
Fear,3,terrifi,0.037983665922104434
Fear,4,terribl,0.033669222790762655
Fear,5,scari,0.028993415005241885
Fear,6,worri,0.02645664848298228
Fear,7,fear,0.023908034104491067
Fear,8,horribl,0.020411136265049642
Fear,9,creepi,0.014939104385161404
Fear,10,just,0.013266023627234188
Fear,11,anxieti,0.012892586795718199
Fear,12,danger,0.012725119203246538
Fear,13,don,0.012665221196006929
Fear,14,make,0.01178678464866131
Fear,15,peopl,0.011295128477436816
Fear,16,oh,0.010960427134349063
Fear,17,feel,0.010852159251946967
Fear,18,cring,0.010832084104434548
Fear,19,nightmar,0.010172339337962237
Fear,20,edgi,0.01015819366747833
Joy,1,thank,0.03915704641850138
Joy,2,love,0.03351162855141194
Joy,3,good,0.019702105389803486
Joy,4,lol,0.019017242687596414
Joy,5,like,0.018469475843422935
Joy,6,hope,0.013426769923395898
Joy,7,just,0.012677523564865326
Joy,8,great,0.011865795463092875
Joy,9,happi,0.0097750103286017
Joy,10,look,0.009592493988034793
Joy,11,realli,0.009285314506408772
Joy,12,best,0.00820293523826497
Joy,13,make,0.008170063639254762
Joy,14,glad,0.007823792721549828
Joy,15,time,0.007809714470906651
Joy,16,nice,0.007792351788980225
Joy,17,think,0.007716987031068429
Joy,18,wish,0.007391133378889368
Joy,19,know,0.0072923251266113695
Joy,20,awesom,0.007273075939212809
Neutral,1,like,0.015834050092836796
Neutral,2,just,0.015403963139448277
Neutral,3,don,0.010018132158368635
Neutral,4,look,0.009313663274211043
Neutral,5,think,0.008870651642209822
Neutral,6,peopl,0.00870009950957417
Neutral,7,say,0.008194197692118495
Neutral,8,know,0.008097101571828849
Neutral,9,time,0.007772487956275169
Neutral,10,want,0.007361589923741842
Neutral,11,got,0.006839153471941237
Neutral,12,way,0.006769027628493415
Neutral,13,make,0.006755693249393186
Neutral,14,oh,0.0067160870935140966
Neutral,15,year,0.006497026819177604
Neutral,16,guy,0.0062322206460821965
Neutral,17,need,0.006184885893363986
Neutral,18,thing,0.006037540495220419
Neutral,19,did,0.00571265577810001
Neutral,20,get,0.005474933384141304
Sadness,1,sorri,0.06233808559296001
Sadness,2,sad,0.03171612374835503
Sadness,3,bad,0.022179012201846916
Sadness,4,miss,0.019399365906875722
Sadness,5,feel,0.015223620232190106
Sadness,6,just,0.014789813308167277
Sadness,7,hurt,0.013642228225641173
Sadness,8,like,0.01284598892061722
Sadness,9,disappoint,0.011470656467205239
Sadness,10,pain,0.009673896491444662
Sadness,11,sadli,0.009598912663096915
Sadness,12,unfortun,0.00954209278741926
Sadness,13,realli,0.009535812795122254
Sadness,14,oh,0.00931247091647575
Sadness,15,didn,0.009292276598599243
Sadness,16,make,0.008973262622640915
Sadness,17,don,0.008731281627650129
Sadness,18,ve,0.008198638645564041
Sadness,19,year,0.008164687076357641
Sadness,20,poor,0.00815470567739387
Surprise,1,know,0.018365608252523542
Surprise,2,did,0.015386017234158075
Surprise,3,oh,0.015227314211700758
Surprise,4,just,0.014091068981448272
Surprise,5,like,0.014070935559614348
Surprise,6,don,0.013830052531953659
Surprise,7,wonder,0.012917493645076121
Surprise,8,surpris,0.012263520865466462
Surprise,9,wow,0.012058673175399673
Surprise,10,think,0.011375931600869929
Surprise,11,doe,0.009806269684747966
Surprise,12,curiou,0.009776351359783844
Surprise,13,realli,0.00966449557868396
Surprise,14,thought,0.009421136527042384
Surprise,15,sure,0.00935144945113752
Surprise,16,confus,0.009048424813504966
Surprise,17,mean,0.00903988397539049
Surprise,18,time,0.008936686194144942
Surprise,19,didn,0.008824331204541989
Surprise,20,realiz,0.008797333413071375
